Environment	Genotype	Block	BN	FT	MT	DT	PH	SN	SP	PW	PN	SW	SY	OIL	PNM
N4	TN201	R2	8.125	189	240	51	110	13.62498697	5260.522312	0.033585593	3860.9375	2.465	1296.71875	42.492875	640.625
N4	TN201	R3	9.5	188	240	52	130	15.5377288	8999.743852	0.037912058	5792.1875	2.44	2195.9375	41.9685	564.0625
N4	TN202	R1	10.4	187	239	52	119	14.10186259	9430.620609	0.048171963	6687.5	3.416	3221.5	44.9164	677.5
N4	TN202	R2	8.625	187	240	53	130	18.03157458	8615.711728	0.050353172	4778.125	2.7925	2405.9375	43.455375	632.8125
N4	TN202	R3	9	188	240	52	115	17.364223	8585.988121	0.045940773	4944.642857	2.645714286	2271.607143	41.95285714	653.5714286
N3	TN001	R1	9.6	199	251	52	155	6.932711193	5021.016082	0.018967898	7242.5	2.736	1373.75	39.716	685
N3	TN001	R2	8.8	.	.	.	.	9.241059812	5433.743169	0.027057823	5880	2.928	1591	40.68	495
N3	TN001	R3	9.4	.	.	.	.	8.773624255	4764.07797	0.028356354	5430	3.232	1539.75	41.314	522.5
N3	TN002	R1	11.2	194	251	57	114	8.660064293	4931.906615	0.033384548	5695	3.855	1901.25	41.214	710
N3	TN002	R2	10.2	.	.	.	.	14.65856285	7387.915677	0.04937004	5040	3.368	2488.25	45.074	747.5
N3	TN002	R3	10.4	.	.	.	.	11.36741879	5476.254002	0.042605086	4817.5	3.748	2052.5	43.576	722.5
N3	TN003	R1	11	197	250	53	150	5.283281048	3275.634249	0.019991935	6200	3.784	1239.5	44.41	592.5
N3	TN003	R2	10.6	.	.	.	.	13.43253622	7146.109272	0.048679511	5320	3.624	2589.75	44.77	650
N3	TN003	R3	10.4	.	.	.	.	11.33498051	5644.820296	0.042891566	4980	3.784	2136	45.106	635
N3	TN004	R1	10.2	200	251	51	170	11.94982958	5350.536193	0.044572864	4477.5	3.73	1995.75	44.4	727.5
N3	TN004	R2	8.6	.	.	.	.	14.8583802	5727.905569	0.049092088	3855	3.304	1892.5	43.118	680
N3	TN004	R3	9.8	.	.	.	.	19.95012771	8812.968917	0.074453877	4417.5	3.732	3289	45.936	662.5
N3	TN005	R1	10.8	200	253	53	150	12.2073154	8777.059774	0.037781641	7190	3.095	2716.5	39.914	760
N3	TN005	R2	10	.	.	.	.	12.08791209	7554.945055	0.0396	6250	3.276	2475	44.326	902.5
N3	TN005	R3	10.2	.	.	.	.	10.03791776	6567.307692	0.036538021	6542.5	3.64	2390.5	42.65	662.5
N3	TN006	R1	10.6	195	254	59	145	13.72867458	8453.431373	0.042009744	6157.5	3.06	2586.75	42.128	642.5
N3	TN006	R2	10.4	.	.	.	.	15.66675695	8342.548077	0.065173709	5325	4.16	3470.5	44.924	595
N3	TN006	R3	9	.	.	.	.	14.30713836	7275.179856	0.047728614	5085	3.336	2427	44.918	500
N3	TN007	R1	11.8	200	254	54	165	10.83812722	8545.863309	0.030129994	7885	2.78	2375.75	38.376	932.5
N3	TN007	R2	10.6	.	.	.	.	12.4556442	6660.655738	0.037989715	5347.5	3.05	2031.5	38.468	765
N3	TN007	R3	10.8	.	.	.	.	11.17903297	7503.925879	0.035594041	6712.5	3.184	2389.25	41.562	897.5
N3	TN008	R1	10.2	201	254	53	160	10.34635595	6373.355263	0.034598214	6160	3.344	2131.25	44.296	770
N3	TN008	R2	9.2	.	.	.	.	12.93476712	6276.595745	0.041339516	4852.5	3.196	2006	43.89	667.5
N3	TN008	R3	9.2	.	.	.	.	13.56966528	7052.83353	0.045974026	5197.5	3.388	2389.5	45.19	737.5
